"Source:","C:\Users\matth\Desktop\AeroNU\FixedWing\BMS\bms-pcb-design\bms-kicad-project\bms-board.kicad_sch"
"Date:","5/6/2026 10:45:59 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Users\matth\AppData\Local\Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","369"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Height","MAXIMUM_PACKAGE_HEIGHT","Manufacturer","Manufacturer Name","Manufacturer Part Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","SNAPEDA_PN","STANDARD","Tutorial","category","composition","device class L1","device class L2","device class L3","digikey description","digikey part number","height","ipc land pattern name","lead free","library id","mouser description","mouser part number","package","power","power rating","resistance","rohs","series","temperature coefficient","temperature range high","temperature range low","tolerance","voltage rating"
"49","11","R71, R72, R73, R74, R75, R76, R77, R78, R89, R90, R91","0","FixedWing:CRCW08050000Z0EA","FixedWing:RES_CRCW_0805_VIS","https://www.vishay.com/docs/20035/dcrcwe3.pdf","DNP","","","","","Vishay Dale","","CRCW08050000Z0EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","1","R94","1m","FixedWing:SEWF5930F1L00P9","FixedWing:RES_5930R","https://s.resistor.today/shop/products/epdf/SEWF5930.pdf","","","","","","RESI","","SEWF5930F1L00P9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","7","R96, R102, R105, R115, R117, R137, R138","1k","FixedWing:RC0805FR-071KL","FixedWing:RC0805N_YAG","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","","","","","YAGEO","","RC0805FR-071KL","","RC0805FR-071KL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","1","R97","562k","FixedWing:RC0805FR-07562KL","FixedWing:RESC2012X60N","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","","","","","YAGEO","","RC0805FR-07562KL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","2","R98, R99","100k","FixedWing:RC0805FR-07100KL","FixedWing:RESC2012X60N","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","","","","","YAGEO","","RC0805FR-07100KL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","1","R100","523k","FixedWing:RC0805FR-07523KL","FixedWing:RC0805N_YAG","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","","","","","YAGEO","","RC0805FR-07523KL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","1","R101","93.1k","FixedWing:RC0805FR-0793K1L","FixedWing:RESC2012X60N","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","","","","","YAGEO","","RC0805FR-0793K1L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","1","R103","41.2k","FixedWing:CRCW080541K2FKEA","FixedWing:RC0805N_VIS","https://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","","","Vishay Dale","","CRCW080541K2FKEA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","1","R106","90.9k","FixedWing:RC0805FR-0790K9L","FixedWing:RC0805N_YAG","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_R","","","","","","YAGEO","","RC0805FR-0790K9L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","1","R107","3.3","FixedWing:RK73H1JTTD3R30F","FixedWing:RESC1608X55N","https://www.koaspeer.com/pdfs/RK73H.pdf","","","","","","KOA Speer Electronics, Inc.","","RK73H1JTTD3R30F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","11","R108, R112, R113, R114, R116, R125, R126, R129, R130, R131, R132","5.1k","FixedWing:RC0805JR-075K1L","FixedWing:RESC2012X60N","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","","","","","YAGEO","","RC0805JR-075K1L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","1","R110","11.3k","FixedWing:RC0805FR-0711K3L","FixedWing:RC0805N_YAG","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L","","","","","","YAGEO","","RC0805FR-0711K3L","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
